Child,Age,N.child,H.child,H.child.S,H.child.I,Schild,N.mother,H.mother,H.mother.S,H.mother.I,Smother
joel,699,656,4.617900919,4.526653803,0.091247116,1.17562724,4461,5.319435974,4.785644052,0.533791923,3.280147059
joel,703,722,4.512542119,4.400624458,0.111917661,1.249134948,4132,5.350476396,4.818991686,0.53148471,3.180908391
joel,710,961,4.687800097,4.586036459,0.101763638,1.378766141,4767,5.46890215,4.910792812,0.558109338,3.388059701
joel,714,1073,4.625054005,4.541810769,0.083243236,1.415567282,5069,5.511241846,4.928853929,0.582387917,3.483848797
joel,719,1147,4.658438373,4.58481268,0.073625692,1.397076736,6002,5.433100328,4.881185421,0.551914907,3.633171913
joel,721,1110,4.499979821,4.438554601,0.06142522,1.403286979,5965,5.435542593,4.883553103,0.55198949,3.637195122
joel,730,1144,4.550160203,4.476755946,0.073404257,1.487646294,6126,5.411595242,4.871639015,0.539956227,3.712727273
joel,735,1171,4.503083985,4.434690226,0.068393758,1.586720867,5320,5.451307136,4.874625268,0.576681868,3.699582754
joel,745,1014,4.70764409,4.628791992,0.078852097,1.557603687,5466,5.507367368,4.919862517,0.587504851,3.636726547
joel,750,1017,4.564697469,4.511713773,0.052983696,1.594043887,4534,5.484249792,4.896344509,0.587905282,3.584189723
joel,759,1168,4.416061729,4.372972415,0.043089314,1.510996119,4451,5.481631784,4.917595166,0.564036618,3.379650721
joel,760,1387,4.380358145,4.327787295,0.05257085,1.520833333,4073,5.457265176,4.933309085,0.523956091,3.319478403
joel,764,1181,4.347843948,4.294219775,0.053624172,1.470734745,4037,5.527337117,4.982820594,0.544516523,3.398148148
joel,766,970,4.584832265,4.501002303,0.083829962,1.608623549,3824,5.546013539,4.960223126,0.585790413,3.628083491
joel,777,1123,4.868140731,4.773688971,0.09445176,1.788216561,3760,5.457187535,4.9042634,0.552924135,3.504193849
joel,780,1540,4.904325627,4.798022639,0.106302989,1.833333333,4453,5.419376652,4.86831485,0.551061803,3.383738602
joel,786,1708,5.114858384,4.997389923,0.11746846,1.854505972,5169,5.496325119,4.949561147,0.546763972,3.483153639
joel,791,1499,5.089465998,4.97079505,0.118670948,1.902284264,5220,5.54307689,4.968522832,0.574554058,3.70212766
joel,799,1275,5.092514325,4.975545926,0.116968399,1.958525346,4761,5.543775161,4.975868641,0.56790652,3.772583201
joel,801,1225,5.016054931,4.879539689,0.136515242,1.98541329,4587,5.525371258,5.005081978,0.520289279,3.744489796
joel,806,1287,5.082400134,4.935704404,0.14669573,1.998447205,4835,5.617489483,5.06882763,0.548661852,3.727833462
joel,808,1294,5.18379721,5.019177567,0.164619643,2.050713154,4775,5.628258483,5.095860434,0.532398048,3.742163009
joel,816,1560,5.116564344,4.943727055,0.172837289,2.060766182,4907,5.58891564,5.044265972,0.544649667,3.689473684
joel,820,1597,5.00099672,4.83805005,0.16294667,2.018963338,4548,5.479277109,4.975327012,0.503950098,3.490406754
joel,825,1507,4.903691486,4.733247694,0.170443792,1.985507246,4936,5.517636281,4.979465464,0.538170817,3.656296296
joel,827,1145,4.869422871,4.682946422,0.186476449,1.92114094,4690,5.514212061,4.942998416,0.571213645,3.740031898
joel,836,1051,4.918145042,4.678617424,0.239527617,1.986767486,4686,5.503522965,4.934335839,0.569187126,3.722001589
joel,840,1171,5.106490799,4.846601717,0.259889082,2.015490534,5655,5.531313328,4.975982165,0.555331163,3.775033378
joel,847,1385,5.094041121,4.834411502,0.259629619,2.14064915,5550,5.524718992,4.967811935,0.556907057,3.801369863
joel,849,1453,5.084192899,4.835302729,0.24889017,2.184962406,5094,5.608811219,5.040774028,0.568037191,4.055732484
joel,860,1752,5.087270542,4.81063007,0.276640472,2.171003717,4209,5.540088253,4.972029664,0.568058589,3.809049774
joel,867,2040,5.088384236,4.803628127,0.284756109,2.140608604,3936,5.562430493,5.016057488,0.546373005,3.64107308
joel,874,2291,5.170084062,4.862266301,0.30781776,2.111520737,4884,5.562275326,5.009831801,0.552443525,3.58853784
joel,876,2152,5.119781416,4.83970048,0.280080936,2.130693069,4544,5.598475537,5.046917128,0.551558409,3.612082671
